state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
CA,Los Angeles City & County CoC,CA-600,"$133,611,222.00",Major City CoC,13319,8194,62%,265,74,411,106,722,91,114,154,13%,16%,21%,2200,265,386,585,12%,18%,27%,984,91,151,211,9%,15%,21%,5,0,0,0,0%,0%,0%,6273,230,394,682,4%,6%,11%,10184,677,1045,1632,7%,10%,16%,30991,5566,209,4%,1045,19%,1179,21%,1594,180,11%,360,23%,486,30%,16109,25005,32609,2114,996,10%,25187,8804,35%,14618,14190,97%,16010,9598,60%,1402,224,16%,1190,193,16%,12466,1814,15%,18599,13060,70%
CA,San Diego City and County CoC,CA-601,"$23,876,026.00",Major City CoC,3550,3277,92%,118,61,155,84,123,20,27,42,16%,22%,34%,1605,211,326,460,13%,20%,29%,535,54,92,126,10%,17%,24%,30,1,2,5,3%,7%,17%,1299,77,125,203,6%,10%,16%,3592,363,572,836,10%,16%,23%,9778,835,47,6%,238,29%,264,32%,352,39,11%,90,26%,120,34%,5175,6761,2368,400,288,29%,7750,3252,42%,4101,3872,94%,6522,505,8%,1303,134,10%,718,66,9%,2549,72,3%,1860,603,32%
CA,"Santa Ana, Anaheim/Orange County CoC",CA-602,"$26,143,204.00",Largely Suburban CoC,2788,2030,73%,80,45,107,57,57,15,18,26,26%,32%,46%,791,115,133,169,15%,17%,21%,810,34,56,98,4%,7%,12%,0,0,0,0,NA,NA,NA,1133,39,68,136,3%,6%,12%,2791,203,275,429,7%,10%,15%,7800,876,81,9%,426,49%,482,55%,447,101,23%,133,30%,218,49%,4905,5761,4183,947,161,26%,5338,2136,40%,2855,2802,98%,4509,2214,49%,930,67,7%,298,4,1%,1371,49,4%,2430,1436,59%
CA,Santa Maria/Santa Barbara County CoC,CA-603,"$2,014,213.00",Largely Suburban CoC,648,543,84%,83,47,100,58,15,2,2,2,13%,13%,13%,389,45,64,86,12%,16%,22%,165,25,30,42,15%,18%,25%,0,0,0,0,NA,NA,NA,200,14,27,39,7%,14%,20%,769,86,123,169,11%,16%,22%,2070,115,13,11%,59,51%,60,52%,79,21,27%,16,20%,33,42%,1234,1413,263,50,61,42%,1674,488,29%,344,333,97%,1691,1,0%,245,0,0%,71,0,0%,188,5,3%,288,1,0%
CA,Bakersfield/Kern County CoC,CA-604,"$5,926,586.00",Other Largely Urban CoC,532,523,98%,93,40,115,52,198,16,25,40,8%,13%,20%,786,89,144,184,11%,18%,23%,96,4,4,8,4%,4%,8%,0,0,0,0,NA,NA,NA,1133,31,64,143,3%,6%,13%,2213,140,237,375,6%,11%,17%,2425,655,31,5%,264,40%,280,43%,551,59,11%,180,33%,222,40%,1546,2508,449,219,182,89%,2223,1087,49%,2099,2057,98%,1677,713,43%,361,94,26%,400,15,4%,941,68,7%,171,5,3%
CA,Long Beach CoC,CA-606,"$9,330,143.00",Major City CoC,506,331,65%,97,63,138,91,66,6,11,15,9%,17%,23%,143,1,3,3,1%,2%,2%,263,17,31,49,6%,12%,19%,0,0,0,0,NA,NA,NA,515,18,28,49,3%,5%,10%,987,42,73,116,4%,7%,12%,1258,286,21,7%,81,28%,94,33%,296,38,13%,80,27%,108,36%,469,738,308,252,21,89%,1047,511,49%,1226,1180,96%,572,195,34%,346,51,15%,154,58,38%,566,54,10%,317,12,4%
CA,Pasadena CoC,CA-607,"$3,749,042.00",Other Largely Urban CoC,177,177,100%,113,85,121,88,19,2,3,4,11%,16%,21%,75,1,2,2,1%,3%,3%,55,2,2,3,4%,4%,5%,0,0,0,0,NA,NA,NA,51,1,1,1,2%,2%,2%,200,6,8,10,3%,4%,5%,803,140,8,6%,63,45%,69,49%,61,11,18%,16,26%,23,38%,567,598,102,16,8,24%,631,142,23%,401,373,93%,567,38,7%,62,7,11%,70,5,7%,27,2,7%,129,22,17%
CA,Riverside City & County CoC,CA-608,"$10,281,317.00",Largely Suburban CoC,743,693,93%,52,25,55,27,433,44,65,94,10%,15%,22%,926,134,176,223,14%,19%,24%,479,48,64,94,10%,13%,20%,0,0,0,0,NA,NA,NA,806,40,89,145,5%,11%,18%,2644,266,394,556,10%,15%,21%,4991,452,39,9%,162,36%,192,42%,154,19,12%,49,32%,62,40%,3647,4160,890,103,90,22%,4521,1547,34%,1432,1353,94%,4270,504,12%,102,1,1%,225,62,28%,325,5,2%,556,336,60%
CA,San Bernardino City & County CoC,CA-609,"$10,622,832.00",Largely Suburban CoC,540,455,84%,44,18,70,24,49,11,16,17,22%,33%,35%,583,79,115,134,14%,20%,23%,301,16,37,51,5%,12%,17%,36,0,1,4,0%,3%,11%,2900,155,270,397,5%,9%,14%,3869,261,439,603,7%,11%,16%,2775,1042,73,7%,340,33%,377,36%,1079,226,21%,186,17%,366,34%,2075,4423,691,20,93,16%,4104,2388,58%,1778,1739,98%,1646,29,2%,273,2,1%,208,0,0%,2286,6,0%,460,0,0%
CA,"Oxnard, San Buenaventura/Ventura County CoC",CA-611,"$2,258,458.00",Other Largely Urban CoC,258,178,69%,75,35,106,57,47,2,4,8,4%,9%,17%,79,3,4,6,4%,5%,8%,46,0,0,0,0%,0%,0%,34,1,1,1,3%,3%,3%,451,13,21,23,3%,5%,5%,657,19,30,38,3%,5%,6%,780,146,36,25%,45,31%,81,55%,77,32,42%,28,36%,50,65%,665,1217,82,25,15,49%,1025,530,52%,290,284,98%,351,15,4%,79,5,6%,22,0,0%,450,22,5%,113,2,2%
CA,Glendale CoC,CA-612,"$2,540,381.00",Other Largely Urban CoC,100,100,100%,84,43,160,84,0,0,0,0,NA,NA,NA,76,3,5,7,4%,7%,9%,27,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,12,0,0,0,0%,0%,0%,115,3,5,7,3%,4%,6%,288,65,2,3%,5,8%,7,11%,30,16,53%,9,30%,21,70%,218,271,118,3,3,5%,199,75,38%,152,148,97%,155,0,0%,29,2,7%,10,0,0%,30,0,0%,82,0,0%
CA,Imperial County CoC,CA-613,"$186,875.00",Largely Suburban CoC,183,70,38%,59,27,71,29,5,0,0,0,0%,0%,0%,369,51,74,99,14%,20%,27%,3,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,377,51,74,99,14%,20%,26%,420,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,279,332,0,0,0,NA,420,293,70%,0,0,NA,366,5,1%,0,0,NA,0,0,NA,64,7,11%,0,0,NA
CA,San Luis Obispo County CoC,CA-614,"$1,013,800.00",Largely Suburban CoC,164,50,30%,62,22,62,22,9,0,0,0,0%,0%,0%,38,3,5,8,8%,13%,21%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,250,8,14,18,3%,6%,7%,297,11,19,26,4%,6%,9%,1075,41,5,12%,27,66%,32,78%,17,0,0%,3,18%,3,18%,824,968,2,1,0,50%,1051,360,34%,125,113,90%,794,659,83%,0,0,NA,32,1,3%,484,45,9%,8,0,0%
CO,Colorado Balance of State CoC,CO-500,"$3,222,996.00",Largely Rural CoC,1044,534,51%,112,51,145,63,1,1,1,1,100%,100%,100%,711,46,69,113,6%,10%,16%,190,5,9,13,3%,5%,7%,0,0,0,0,NA,NA,NA,423,22,31,43,5%,7%,10%,1325,74,110,170,6%,8%,13%,3977,174,7,4%,83,48%,87,50%,116,30,26%,24,21%,52,45%,2818,3598,55,3,4,13%,3652,1146,31%,404,391,97%,2310,1195,52%,67,1,1%,40,0,0%,279,43,15%,29,23,79%
CO,Metropolitan Denver CoC,CO-503,"$27,901,716.00",Major City CoC,5022,2144,43%,50,14,84,21,146,10,17,29,7%,12%,20%,635,68,92,131,11%,14%,21%,325,12,15,23,4%,5%,7%,39,0,1,4,0%,3%,10%,858,10,22,57,1%,3%,7%,2003,100,147,244,5%,7%,12%,8430,1308,87,7%,651,50%,705,54%,511,94,18%,188,37%,263,51%,6368,7616,353,15,53,19%,5675,1752,31%,2778,2720,98%,4331,2486,57%,709,209,29%,239,16,7%,1451,25,2%,253,223,88%
CO,Colorado Springs/El Paso County CoC,CO-504,"$2,467,848.00",Major City CoC,1226,1004,82%,55,20,78,26,8,1,2,4,13%,25%,50%,365,92,115,144,25%,32%,39%,263,7,17,22,3%,6%,8%,0,0,0,0,NA,NA,NA,411,28,48,68,7%,12%,17%,1047,128,182,238,12%,17%,23%,5490,122,7,6%,45,37%,48,39%,133,16,12%,16,12%,29,22%,2636,2781,730,198,116,43%,4577,659,14%,666,591,89%,4238,3415,81%,367,38,10%,132,58,44%,518,49,9%,736,340,46%
CO,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",CO-505, $-   ,,339,81,24%,65,57,65,57,2,1,1,1,50%,50%,50%,354,11,18,33,3%,5%,9%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,225,6,12,28,3%,5%,12%,581,18,31,62,3%,5%,11%,729,84,2,2%,51,61%,52,62%,27,6,22%,10,37%,14,52%,536,979,9,2,4,67%,974,628,64%,225,219,97%,609,9,1%,0,0,NA,22,0,0%,749,48,6%,8,1,13%
CT,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",CT-503,"$13,660,263.00",Other Largely Urban CoC,683,633,93%,87,63,108,78,41,4,5,12,10%,12%,29%,535,70,105,121,13%,20%,23%,191,23,34,40,12%,18%,21%,0,0,0,0,NA,NA,NA,466,19,43,73,4%,9%,16%,1233,116,187,246,9%,15%,20%,1626,648,67,10%,227,35%,277,43%,229,27,12%,63,28%,83,36%,825,935,30,5,14,63%,1056,549,52%,2062,2014,98%,1100,96,9%,224,23,10%,299,47,16%,332,18,5%,314,20,6%
CT,Connecticut Balance of State CoC,CT-505,"$43,687,282.00",Largely Suburban CoC,1702,1663,98%,69,44,80,49,150,10,16,23,7%,11%,15%,1752,151,269,388,9%,15%,22%,354,26,43,62,7%,12%,18%,27,1,6,8,4%,22%,30%,1577,94,160,236,6%,10%,15%,3860,282,494,717,7%,13%,19%,6504,2786,193,7%,1035,37%,1166,42%,1292,212,16%,307,24%,483,37%,3468,3920,114,35,22,50%,4721,2563,54%,4362,4268,98%,5494,717,13%,593,32,5%,555,20,4%,1353,45,3%,170,51,30%
DC,District of Columbia CoC,DC-500,"$22,075,117.00",Major City CoC,5832,5461,94%,198,98,219,118,10,1,1,1,10%,10%,10%,2141,903,995,1076,42%,46%,50%,966,194,267,354,20%,28%,37%,0,0,0,0,NA,NA,NA,2526,203,397,594,8%,16%,24%,5643,1301,1660,2025,23%,29%,36%,12586,647,43,7%,153,24%,174,27%,462,36,8%,99,21%,123,27%,5110,6519,40,9,21,75%,5919,4148,70%,3549,3471,98%,3943,457,12%,1382,114,8%,733,88,12%,3654,299,8%,38,2,5%
DE,Delaware Statewide CoC,DE-500,"$8,065,668.00",Largely Suburban CoC,941,486,52%,71,56,124,70,0,0,0,0,NA,NA,NA,766,154,220,290,20%,29%,38%,100,9,10,20,9%,10%,20%,0,0,0,0,NA,NA,NA,811,33,69,120,4%,9%,15%,1677,196,299,430,12%,18%,26%,2138,496,37,7%,99,20%,123,25%,153,17,11%,30,20%,45,29%,1275,1750,0,0,0,NA,2036,936,46%,759,739,97%,1515,385,25%,298,12,4%,152,2,1%,801,30,4%,0,0,NA
FL,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,"$1,290,692.00",Largely Suburban CoC,835,835,100%,45,15,69,23,13,4,4,4,31%,31%,31%,487,104,143,185,21%,29%,38%,268,15,28,37,6%,10%,14%,0,0,0,0,NA,NA,NA,461,25,51,69,5%,11%,15%,1229,148,226,295,12%,18%,24%,4619,14,7,50%,3,21%,7,50%,97,11,11%,8,8%,19,20%,2994,3095,188,93,51,77%,3865,783,20%,408,330,81%,3696,339,9%,658,74,11%,197,4,2%,375,12,3%,144,18,13%
FL,Tampa/Hillsborough County CoC,FL-501,"$6,685,221.00",Major City CoC,967,917,95%,71,56,98,62,58,6,8,9,10%,14%,16%,1144,138,182,247,12%,16%,22%,252,24,38,51,10%,15%,20%,43,4,7,12,9%,16%,28%,621,34,48,72,5%,8%,12%,2118,206,283,391,10%,13%,18%,4013,318,13,4%,68,21%,75,24%,216,44,20%,49,23%,86,40%,2637,3243,308,62,55,38%,3583,1840,51%,1459,1389,95%,3072,927,30%,423,70,17%,257,4,2%,1161,14,1%,292,0,0%
FL,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,"$4,534,495.00",Largely Suburban CoC,1805,1745,97%,64,35,77,41,5,0,0,0,0%,0%,0%,2052,409,538,666,20%,26%,32%,408,55,92,114,13%,23%,28%,53,8,13,17,15%,25%,32%,511,45,64,95,9%,13%,19%,3029,517,707,892,17%,23%,29%,8233,180,10,6%,70,39%,74,41%,175,30,17%,36,21%,63,36%,4710,4943,1434,1373,27,98%,6786,2041,30%,988,953,96%,7137,3622,51%,535,46,9%,197,55,28%,1066,36,3%,321,2,1%
FL,"Lakeland, Winterhaven/Polk County CoC",FL-503,"$2,147,661.00",Largely Suburban CoC,598,470,79%,48,19,94,26,6,0,0,0,0%,0%,0%,197,18,22,35,9%,11%,18%,81,4,5,12,5%,6%,15%,139,7,11,17,5%,8%,12%,423,29,38,64,7%,9%,15%,846,58,76,128,7%,9%,15%,2071,60,6,10%,14,23%,16,27%,21,3,14%,2,10%,5,24%,1486,1721,16,5,10,94%,1813,385,21%,156,151,97%,1938,45,2%,236,44,19%,36,3,8%,302,8,3%,11,0,0%
FL,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",FL-504,"$1,727,905.00",Largely Suburban CoC,431,431,100%,74,58,131,83,36,1,3,3,3%,8%,8%,268,36,44,47,13%,16%,18%,343,24,51,78,7%,15%,23%,0,0,0,0,NA,NA,NA,348,30,48,75,9%,14%,22%,995,91,146,203,9%,15%,20%,1170,68,9,13%,12,18%,20,29%,102,30,29%,31,30%,57,56%,848,1091,1149,79,309,34%,1035,758,73%,157,148,94%,633,1,0%,254,10,4%,83,0,0%,365,2,1%,1174,616,52%
FL,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,"$637,295.00",Largely Suburban CoC,60,60,100%,69,61,70,61,55,3,4,8,5%,7%,15%,47,4,4,4,9%,9%,9%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,90,9,9,13,10%,10%,14%,192,16,17,25,8%,9%,13%,268,16,0,0%,0,0%,0,0%,83,9,11%,5,6%,14,17%,248,359,474,98,83,38%,350,194,55%,40,35,88%,213,38,18%,0,0,NA,14,0,0%,214,28,13%,476,191,40%
FL,Tallahassee/Leon County CoC,FL-506,"$1,730,217.00",Other Largely Urban CoC,702,487,69%,98,41,130,44,63,13,14,18,21%,22%,29%,565,140,184,222,25%,33%,39%,19,0,0,2,0%,0%,11%,0,0,0,0,NA,NA,NA,348,18,35,50,5%,10%,14%,995,171,233,292,17%,23%,29%,2960,101,11,11%,64,63%,71,70%,23,1,4%,15,65%,16,70%,1681,1869,546,305,125,79%,2420,736,30%,333,324,97%,2644,1788,68%,97,6,6%,45,6,13%,261,17,7%,587,3,1%
FL,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,"$8,740,225.00",Largely Suburban CoC,1811,1392,77%,74,39,101,55,225,32,47,62,14%,21%,28%,1196,192,268,368,16%,22%,31%,333,29,43,57,9%,13%,17%,0,0,0,0,NA,NA,NA,751,31,51,87,4%,7%,12%,2505,284,409,574,11%,16%,23%,6115,537,17,3%,156,29%,163,30%,310,50,16%,63,20%,102,33%,4054,4972,736,52,154,28%,5750,2235,39%,1016,957,94%,4815,545,11%,602,40,7%,236,19,8%,1404,34,2%,727,92,13%
FL,"Gainesville/Alachua, Putnam Counties CoC",FL-508,"$809,057.00",Largely Rural CoC,242,242,100%,53,34,73,41,13,1,1,3,8%,8%,23%,479,93,125,158,19%,26%,33%,66,2,4,5,3%,6%,8%,0,0,0,0,NA,NA,NA,267,11,27,48,4%,10%,18%,825,107,157,214,13%,19%,26%,1853,26,0,0%,0,0%,0,0%,35,2,6%,0,0%,2,6%,1340,1633,236,75,29,44%,1645,758,46%,835,693,83%,1553,1,0%,149,0,0%,245,3,1%,336,0,0%,268,13,5%
FL,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,"$1,803,072.00",Largely Suburban CoC,163,155,95%,53,27,85,42,21,4,5,8,19%,24%,38%,249,34,43,63,14%,17%,25%,145,7,12,17,5%,8%,12%,0,0,0,0,NA,NA,NA,110,8,11,19,7%,10%,17%,525,53,71,107,10%,14%,20%,698,173,12,7%,105,61%,116,67%,20,2,10%,10,50%,11,55%,497,841,304,21,178,65%,914,800,88%,495,483,98%,462,32,7%,140,2,1%,87,0,0%,404,0,0%,175,47,27%
FL,"Jacksonville-Duval, Clay Counties CoC",FL-510,"$5,277,974.00",Major City CoC,1208,636,53%,107,49,140,70,281,1,16,34,0%,6%,12%,417,28,67,87,7%,16%,21%,145,12,14,19,8%,10%,13%,0,0,0,0,NA,NA,NA,689,13,45,80,2%,7%,12%,1532,54,142,220,4%,9%,14%,1990,425,7,2%,42,10%,46,11%,367,47,13%,55,15%,96,26%,1270,2320,549,57,296,64%,1994,1043,52%,935,892,95%,1149,134,12%,274,33,12%,200,15,8%,845,28,3%,353,196,56%
FL,"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,"$790,987.00",Largely Suburban CoC,652,535,82%,133,11,195,21,31,5,6,8,16%,19%,26%,285,20,31,47,7%,11%,16%,117,11,17,28,9%,15%,24%,0,0,0,0,NA,NA,NA,201,18,27,39,9%,13%,19%,634,54,81,122,9%,13%,19%,2523,46,0,0%,0,0%,0,0%,87,11,13%,10,11%,20,23%,1576,1763,364,95,87,50%,1826,444,24%,0,0,NA,651,131,20%,165,5,3%,26,0,0%,367,1,0%,76,2,3%
FL,St. Johns County CoC,FL-512,"$126,034.00",Largely Suburban CoC,116,116,100%,29,16,67,23,16,4,6,6,25%,38%,38%,166,29,55,65,17%,33%,39%,72,1,1,1,1%,1%,1%,0,0,0,0,NA,NA,NA,76,6,9,9,8%,12%,12%,330,40,71,81,12%,22%,25%,752,4,0,0%,0,0%,0,0%,8,2,25%,0,0%,2,25%,529,595,283,33,78,39%,707,220,31%,18,18,100%,2406,0,0%,31,0,0%,1,0,0%,77,0,0%,97,0,0%
FL,"Palm Bay, Melbourne/Brevard County CoC",FL-513,"$680,214.00",Largely Suburban CoC,560,537,96%,73,33,199,84,64,7,9,11,11%,14%,17%,269,47,61,71,17%,23%,26%,300,27,37,43,9%,12%,14%,0,0,0,0,NA,NA,NA,439,18,33,57,4%,8%,13%,1072,99,140,182,9%,13%,17%,1338,98,2,2%,12,12%,14,14%,115,2,2%,3,3%,5,4%,866,1289,117,32,31,54%,1058,636,60%,125,118,94%,448,6,1%,567,42,7%,98,5,5%,502,6,1%,126,39,31%
FL,Ocala/Marion County CoC,FL-514,"$444,531.00",Largely Suburban CoC,264,252,95%,11,2,11,2,5,0,0,0,0%,0%,0%,121,10,10,10,8%,8%,8%,15,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,52,0,0,0,0%,0%,0%,193,10,10,10,5%,5%,5%,1204,539,4,1%,8,1%,12,2%,1134,3,0%,13,1%,16,1%,0,0,0,0,0,NA,1841,283,15%,5,3,60%,797,6,1%,161,15,9%,22,0,0%,146,0,0%,266,0,0%
FL,"Panama City/Bay, Jackson Counties CoC",FL-515,"$53,995.00",Largely Rural CoC,115,115,100%,10,4,18,5,161,9,10,14,6%,6%,9%,28,3,5,5,11%,18%,18%,30,1,4,4,3%,13%,13%,0,0,0,0,NA,NA,NA,143,7,13,18,5%,9%,13%,362,20,32,41,6%,9%,11%,969,2,0,0%,0,0%,0,0%,26,4,15%,2,8%,5,19%,825,1378,183,56,78,73%,1375,483,35%,6,6,100%,1023,45,4%,133,5,4%,0,0,NA,110,0,0%,239,0,0%
FL,"Hendry, Hardee, Highlands Counties CoC",FL-517,"$277,591.00",Largely Rural CoC,31,31,100%,190,106,190,106,0,0,0,0,NA,NA,NA,11,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,11,0,0,0,0%,0%,0%,35,41,0,0%,3,7%,3,7%,3,0,0%,0,0%,0,0%,0,0,0,0,0,NA,3,2,67%,1,1,100%,310,50,16%,102,25,25%,37,15,41%,70,10,14%,0,0,NA
FL,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",FL-518,"$365,487.00",Largely Rural CoC,49,49,100%,22,19,75,28,20,0,0,1,0%,0%,5%,116,30,41,43,26%,35%,37%,32,1,3,4,3%,9%,13%,0,0,0,0,NA,NA,NA,114,13,13,19,11%,11%,17%,282,44,57,67,16%,20%,24%,282,9,0,0%,2,22%,2,22%,14,2,14%,0,0%,2,14%,190,336,24,2,9,46%,299,241,81%,10,10,100%,200,0,0%,32,1,3%,0,0,NA,170,3,2%,42,13,31%
FL,Pasco County CoC,FL-519,"$1,281,554.00",Largely Suburban CoC,198,198,100%,84,22,118,51,3,0,0,0,0%,0%,0%,50,5,9,13,10%,18%,26%,94,3,5,11,3%,5%,12%,0,0,0,0,NA,NA,NA,380,10,17,34,3%,4%,9%,527,18,31,58,3%,6%,11%,678,14,0,0%,0,0%,0,0%,37,6,16%,7,19%,12,32%,553,864,82,0,4,5%,932,740,79%,153,152,99%,350,0,0%,234,0,0%,16,0,0%,576,2,0%,364,0,0%
FL,"Citrus, Hernando, Lake, Sumter Counties CoC",FL-520,"$540,839.00",Largely Suburban CoC,282,213,76%,33,12,120,38,24,0,0,2,0%,0%,8%,163,15,18,22,9%,11%,13%,98,4,4,7,4%,4%,7%,0,0,0,0,NA,NA,NA,137,7,9,12,5%,7%,9%,422,26,31,43,6%,7%,10%,683,18,1,6%,8,44%,9,50%,12,1,8%,2,17%,3,25%,408,459,411,15,34,12%,731,308,42%,146,136,93%,399,144,36%,235,76,32%,28,6,21%,212,20,9%,412,331,80%
FL,Miami-Dade County CoC,FL-600,"$32,867,600.00",Major City CoC,2177,2177,100%,108,70,137,89,82,9,12,15,11%,15%,18%,2858,431,613,803,15%,21%,28%,536,78,116,147,15%,22%,27%,44,2,5,7,5%,11%,16%,1360,94,151,225,7%,11%,17%,4880,614,897,1197,13%,18%,25%,7308,1653,144,9%,712,43%,780,47%,333,55,17%,126,38%,157,47%,3657,4336,4055,3604,130,92%,5073,2889,57%,3716,3685,99%,4985,1154,23%,642,8,1%,957,17,2%,1834,14,1%,4055,125,3%
FL,Ft Lauderdale/Broward County CoC,FL-601,"$11,362,648.00",Largely Suburban CoC,1510,1203,80%,92,61,115,74,74,9,13,16,12%,18%,22%,1162,233,319,417,20%,27%,36%,368,49,66,91,13%,18%,25%,27,2,3,4,7%,11%,15%,935,65,107,185,7%,11%,20%,2566,358,508,713,14%,20%,28%,4212,601,57,9%,356,59%,386,64%,272,69,25%,48,18%,109,40%,2520,3370,3842,1478,128,42%,3812,1641,43%,894,870,97%,2387,437,18%,578,12,2%,100,3,3%,913,46,5%,3578,3,0%
FL,Punta Gorda/Charlotte County CoC,FL-602,"$266,960.00",Largely Suburban CoC,76,76,100%,55,40,86,48,59,1,2,7,2%,3%,12%,324,20,37,60,6%,11%,19%,26,1,1,2,4%,4%,8%,3,0,0,1,0%,0%,33%,111,0,0,3,0%,0%,3%,523,22,40,73,4%,8%,14%,410,13,2,15%,2,15%,4,31%,18,2,11%,4,22%,6,33%,293,338,234,80,127,88%,327,278,85%,110,107,97%,313,0,0%,39,0,0%,39,0,0%,97,0,0%,245,0,0%
FL,"Ft Myers, Cape Coral/Lee County CoC",FL-603,"$1,825,537.00",Largely Suburban CoC,157,132,84%,47,16,55,16,0,0,0,0,NA,NA,NA,156,23,36,51,15%,23%,33%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,451,3,3,5,1%,1%,1%,607,26,39,56,4%,6%,9%,1017,107,6,6%,22,21%,27,25%,122,39,32%,24,20%,55,45%,780,946,44,17,5,50%,1094,571,52%,143,115,80%,953,182,19%,0,0,NA,0,0,NA,530,7,1%,47,5,11%
FL,Monroe County CoC,FL-604,"$515,579.00",Largely Rural CoC,368,329,89%,65,27,123,43,125,23,33,40,18%,26%,32%,283,57,74,95,20%,26%,34%,116,17,20,28,15%,17%,24%,0,0,0,0,NA,NA,NA,45,4,7,11,9%,16%,24%,569,101,134,174,18%,24%,31%,1198,154,19,12%,41,27%,45,29%,174,73,42%,18,10%,88,51%,945,981,185,29,70,54%,944,443,47%,221,211,95%,947,416,44%,154,19,12%,51,2,4%,4,0,0%,88,0,0%
FL,West Palm Beach/Palm Beach County CoC,FL-605,"$5,656,703.00",Largely Suburban CoC,374,374,100%,102,76,124,82,85,7,11,20,8%,13%,24%,885,66,117,170,7%,13%,19%,158,10,20,35,6%,13%,22%,0,0,0,0,NA,NA,NA,597,30,58,95,5%,10%,16%,1725,113,206,320,7%,12%,19%,1569,200,17,9%,58,29%,68,34%,98,18,18%,40,41%,46,47%,915,1375,1034,154,220,36%,1393,963,69%,1094,1051,96%,1201,144,12%,113,6,5%,351,29,8%,855,32,4%,655,266,41%
FL,Naples/Collier County CoC,FL-606,"$399,823.00",Largely Suburban CoC,339,35,10%,0,0,117,161,20,1,1,4,5%,5%,20%,0,0,0,0,NA,NA,NA,16,0,0,2,0%,0%,13%,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,36,1,1,6,3%,3%,17%,45,18,4,22%,11,61%,15,83%,33,4,12%,6,18%,10,30%,20,20,20,10,4,70%,33,24,73%,15,15,100%,0,0,NA,11,0,0%,0,0,NA,64,0,0%,14,1,7%
GA,Atlanta CoC,GA-500,"$7,701,216.00",Major City CoC,2698,2335,87%,81,44,123,63,278,24,41,55,9%,15%,20%,918,94,146,226,10%,16%,25%,702,72,109,179,10%,16%,25%,0,0,0,0,NA,NA,NA,1283,67,112,172,5%,9%,13%,3181,257,408,632,8%,13%,20%,9427,312,19,6%,129,41%,147,47%,154,18,12%,54,35%,68,44%,6012,7482,4968,755,438,24%,8257,2712,33%,2141,2018,94%,6348,2377,37%,2143,640,30%,415,30,7%,1666,42,3%,1041,220,21%
